scientific_name,authority
Amphiporus,"Ehrenberg, 1831"
Amphiporus imparispinosus,"Griffin, 1898"
Emplectonema gracile,"(Johnston, 1837)"
Paranemertes,"Coe, 1901"
Paranemertes peregrina,"Coe, 1901"
Platyhelminthes,"Minot, 1876"
Porifera,"Grant, 1836"
Haliclona,"Grant, 1841"
Haliclona permollis,"(Bowerbank, 1866)"
Ophlitaspongia pennata,"(Lambe, 1895)"
Halichondria,"Fleming, 1828"
Sipuncula,"Stephen, 1965"
Bacillariophyceae,"Haeckel, 1878"
Phaeophyceae,"Kjellman, 1891"
Desmarestia,"J.V.Lamouroux, 1813"
Desmarestia aculeata,"(Linnaeus) J.V.Lamouroux, 1813"
Desmarestia foliacea,"V.A.Pease, 1920"
Desmarestia ligulata,"(Stackhouse) J.V.Lamouroux, 1813"
Desmarestia munda,"Setchell & N.L.Gardner, 1924"
Desmarestia viridis,"(O.F.Müller) J.V.Lamouroux, 1813"
Laminariales,"Migula, 1909"
Agarum,"Dumortier, 1822"
Alaria marginata,"Postels & Ruprecht, 1840"
Alaria nana,"H.F.Schrader, 1903"
Pleurophycus gardneri,"Setchell & Saunders ex Tilden, 1900"
Pterygophora californica,"Ruprecht, 1852"
Costaria costata,"(C.Agardh) De A.Saunders, 1895"
Dictyoneurum californicum,"Ruprecht, 1852"
Cymathaere triplicata,"(Postels & Ruprecht) J.Agardh, 1868"
Laminaria,"J.V. Lamouroux, 1813"
Laminaria ephemera,"Setchell, 1901"
Laminaria setchellii,"P.C.Silva, 1957"
Laminaria yezoensis,"Miyabe, 1902"
Macrocystis integrifolia,"Bory, 1826"
Macrocystis pyrifera,"(Linnaeus) C.Agardh, 1820"
Nereocystis luetkeana,"(K.Mertens) Postels & Ruprecht, 1840"
Saccharina,"Stackhouse, 1809"
Saccharina latissima,"(Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006"
Saccharina nigripes,"(J.Agardh) Lontin & G.W.Saunders, 2015"
Saccharina sessilis,"(C.Agardh) Kuntze, 1891"
Egregia menziesii,"(Turner) Areschoug, 1876"
Eisenia arborea,"J.E.Areschoug, 1876"
Dictyota,"J.V.Lamouroux, 1809"
Elachista fucicola,"(Velley) Areschoug, 1842"
Leathesia,"S.F.Gray, 1821"
Leathesia difformis,"Areschoug, 1847"
Leathesia marina,"(Lyngbye) Decaisne, 1842"
Melanosiphon intestinalis,"(De A.Saunders) M.J.Wynne, 1969"
Ectocarpus,"Lyngbye, 1819"
Analipus japonicus,"(Harvey) M.J.Wynne, 1971"
Colpomenia,"(Endlicher) Derbès & Solier, 1851"
Colpomenia peregrina,"Sauvageau, 1927"
Scytosiphon lomentaria,"(Lyngbye) Link, 1833"
Fucus distichus,"Linnaeus, 1767"
Silvetia compressa,"(J.Agardh) E.Serrão, T.O.Cho, S.M.Boo & Brawley, 1999"
Sargassum muticum,"(Yendo) Fensholt, 1955"
Ralfsia,"Berkeley, 1843"
Plantae,"Haeckel, 1866"
Rhodophyta,"Wettstein, 1901"
Bangiaceae,"Duby, 1830"
Porphyra,"C.Agardh, 1824"
Pyropia,"J.Agardh, 1899"
Pyropia abbottiae,"(V.Krishnamurthy) S.C.Lindstrom, 2011"
Pyropia fucicola,"(V.Krishnamurthy) S.C.Lindstrom, 2011"
Pyropia perforata,"(J.Agardh) S.C.Lindstrom, 2011"
Wildemania norrisii,"(V.Krishnamurthy) S.C.Lindstrom, 2011"
Chamberlainium tumidum,"(Foslie) Caragnano, Foetisch, Maneveldt & Payri, 2018"
Ahnfeltia fastigiata,"(Endlicher) Makienko, 1970"
Corallinales,"P.C. Silva & H.W. Johansen, 1986"
Bossiella,"P.C.Silva, 1957"
Bossiella mayae,"P.W.Gabrielson, K.R.Hind, Martone & C.P.Jensen, 2018"
Calliarthron,"Manza, 1937"
Corallina,"Linnaeus, 1758"
Corallina vancouveriensis,"Yendo, 1902"
Melobesia mediocris,"(Foslie) Setchell & L.R.Mason, 1943"
Hildenbrandia,"Nardo, 1834"
Hildenbrandia occidentalis,"Setchell, 1917"
Hildenbrandia rubra,"(Sommerfelt) Meneghini, 1841"
Nemalion elminthoides,"(Velley) Batters, 1902"
Halosaccion glandiforme,"(S.G.Gmelin) Ruprecht, 1850"
Palmaria,"Stackhouse, 1802"
Callithamnion,"Lyngbye, 1819"
Callithamnion pikeanum,"Harvey, 1853"
Ptilota,"C.Agardh, 1817"
Cumathamnion,"M.J.Wynne & K.Daniels, 1966"
Cryptopleura,"Kützing, 1843"
Hymenena,"Greville, 1830"
Polyneura latissima,"(Harvey) Kylin, 1924"
Neorhodomela aculeata,"(Perestenko) Masuda, 1982"
Neorhodomela larix,"(Turner) Masuda, 1982"
Odonthalia,"Lyngbye, 1819"
Odonthalia floccosa,"(Esper) Falkenberg, 1901"
Polysiphonia,"Greville, 1823"
Pterosiphonia,"Falkenberg, 1897"
Pterosiphonia bipinnata,"(Postels & Ruprecht) Falkenberg, 1901"
Savoiea robusta,
Ceramium,"Roth, 1797"
Microcladia borealis,"Ruprecht, 1850"
Microcladia coulteri,"Harvey, 1853"
Gelidium,"J.V. Lamouroux, 1813"
Constantinea,"Postels & Ruprecht, 1840"
Cryptosiphonia woodii,"(J.Agardh) J.Agardh, 1876"
Dilsea,"Stackhouse, 1809"
Farlowia mollis,"(Harvey & Bailey) Farlow & Setchell, 1901"
Endocladia muricata,"(Endlicher) J.Agardh, 1847"
Gloiopeltis furcata,"(Postels & Ruprecht) J.Agardh, 1851"
Opuntiella californica,"(Farlow) Kylin, 1925"
Chondracanthus exasperatus,"(Harvey & Bailey) Hughey, 1996"
Mazzaella,"G. De Toni, 1936"
Callophyllis,"Kützing, 1843"
