scientific_name,authority,scientific_name_full
Solaster dawsoni,"Verrill, 1880","Solaster dawsoni Verrill, 1880"
Solaster endeca,"(Linnaeus, 1771)","Solaster endeca (Linnaeus, 1771)"
Solaster paxillatus,"Sladen, 1889","Solaster paxillatus Sladen, 1889"
Solaster stimpsoni,"Verrill, 1880","Solaster stimpsoni Verrill, 1880"
Ophiuroidea,"Gray, 1840","Ophiuroidea Gray, 1840"
Florometra serratissima,"(AH Clark, 1907)","Florometra serratissima (AH Clark, 1907)"
Echinoidea,"Schumacher, 1817","Echinoidea Schumacher, 1817"
Mesocentrotus franciscanus,"(A. Agassiz, 1863)","Mesocentrotus franciscanus (A. Agassiz, 1863)"
Strongylocentrotus,"Brandt, 1835","Strongylocentrotus Brandt, 1835"
Strongylocentrotus droebachiensis,"(O.F. Müller, 1776)","Strongylocentrotus droebachiensis (O.F. Müller, 1776)"
Strongylocentrotus pallidus,"(Sars G.O., 1872)","Strongylocentrotus pallidus (Sars G.O., 1872)"
Strongylocentrotus purpuratus,"(Stimpson, 1857)","Strongylocentrotus purpuratus (Stimpson, 1857)"
Holothuroidea,"de Blainville, 1834","Holothuroidea de Blainville, 1834"
Cucumaria,"de Blainville, 1830","Cucumaria de Blainville, 1830"
Cucumaria miniata,"(Brandt, 1835)","Cucumaria miniata (Brandt, 1835)"
Cucumaria pseudocurata,"Deichmann, 1938","Cucumaria pseudocurata Deichmann, 1938"
Pseudocnus,"Panning, 1949","Pseudocnus Panning, 1949"
Pseudocnus curatus,"(Cowles, 1907)","Pseudocnus curatus (Cowles, 1907)"
Parastichopus californicus,"(Stimpson, 1857)","Parastichopus californicus (Stimpson, 1857)"
Bivalvia,"Linnaeus, 1758","Bivalvia Linnaeus, 1758"
Entodesma navicula,"(A. Adams & Reeve, 1850)","Entodesma navicula (A. Adams & Reeve, 1850)"
Clinocardium nuttallii,"(Conrad, 1837)","Clinocardium nuttallii (Conrad, 1837)"
Macoma,"Leach, 1819","Macoma Leach, 1819"
Macoma balthica,"(Linnaeus, 1758)","Macoma balthica (Linnaeus, 1758)"
Macoma inquinata,"(Deshayes, 1855)","Macoma inquinata (Deshayes, 1855)"
Macoma nasuta,"(Conrad, 1837)","Macoma nasuta (Conrad, 1837)"
Mya arenaria,"Linnaeus, 1758","Mya arenaria Linnaeus, 1758"
Platyodon cancellatus,"(Conrad, 1837)","Platyodon cancellatus (Conrad, 1837)"
Saxidomus gigantea,"(Deshayes, 1839)","Saxidomus gigantea (Deshayes, 1839)"
Leukoma staminea,"(Conrad, 1837)","Leukoma staminea (Conrad, 1837)"
Mytilidae,"Rafinesque, 1815","Mytilidae Rafinesque, 1815"
Mytilus,"Linnaeus, 1758","Mytilus Linnaeus, 1758"
Mytilus californianus,"Conrad, 1837","Mytilus californianus Conrad, 1837"
Mytilus trossulus,"A. Gould, 1850","Mytilus trossulus A. Gould, 1850"
Anomiidae,"Rafinesque, 1815","Anomiidae Rafinesque, 1815"
Pododesmus macrochisma,"(Deshayes, 1839)","Pododesmus macrochisma (Deshayes, 1839)"
Pectinidae,"Rafinesque, 1815","Pectinidae Rafinesque, 1815"
Chlamys,"Röding, 1798","Chlamys Röding, 1798"
Chlamys hastata,"(G. B. Sowerby II, 1842)","Chlamys hastata (G. B. Sowerby II, 1842)"
Crassadoma gigantea,"(J. E. Gray, 1825)","Crassadoma gigantea (J. E. Gray, 1825)"
Patinopecten caurinus,"(A. Gould, 1850)","Patinopecten caurinus (A. Gould, 1850)"
Rossia pacifica,"S. S. Berry, 1911","Rossia pacifica S. S. Berry, 1911"
Enteroctopus dofleini,"(Wülker, 1910)","Enteroctopus dofleini (Wülker, 1910)"
Octopus rubescens,"S. S. Berry, 1953","Octopus rubescens S. S. Berry, 1953"
Gastropoda,"Cuvier, 1795","Gastropoda Cuvier, 1795"
Batillaria,"W. H. Benson, 1842","Batillaria W. H. Benson, 1842"
Batillaria zonalis,"(Bruguière, 1792)","Batillaria zonalis (Bruguière, 1792)"
Neostylidium eschrichtii,"(Middendorff, 1849)","Neostylidium eschrichtii (Middendorff, 1849)"
Epitonium,"Röding, 1798","Epitonium Röding, 1798"
Crepidula,"Lamarck, 1799","Crepidula Lamarck, 1799"
Trichotropis cancellata,"Hinds, 1843","Trichotropis cancellata Hinds, 1843"
Lacuna,"W. Turton, 1827","Lacuna W. Turton, 1827"
Lacuna vincta,"(Montagu, 1803)","Lacuna vincta (Montagu, 1803)"
Littorina,"A. Férussac, 1822","Littorina A. Férussac, 1822"
Littorina plena,"A. Gould, 1849","Littorina plena A. Gould, 1849"
Littorina scutulata,"A. Gould, 1849","Littorina scutulata A. Gould, 1849"
Littorina sitkana,"R. A. Philippi, 1846","Littorina sitkana R. A. Philippi, 1846"
Euspira lewisii,"(A. Gould, 1847)","Euspira lewisii (A. Gould, 1847)"
Fusitriton oregonensis,"(Redfield, 1846)","Fusitriton oregonensis (Redfield, 1846)"
Melanella micans,"(P. P. Carpenter, 1865)","Melanella micans (P. P. Carpenter, 1865)"
Searlesia dira,"(Reeve, 1846)","Searlesia dira (Reeve, 1846)"
Buccinidae,"Rafinesque, 1815","Buccinidae Rafinesque, 1815"
Neptunea,"Röding, 1798","Neptunea Röding, 1798"
Columbellidae,"Swainson, 1840","Columbellidae Swainson, 1840"
Alia,"H. Adams & A. Adams, 1853","Alia H. Adams & A. Adams, 1853"
Alia carinata,"(Hinds, 1844)","Alia carinata (Hinds, 1844)"
Amphissa,"H. Adams & A. Adams, 1853","Amphissa H. Adams & A. Adams, 1853"
Amphissa columbiana,"Dall, 1916","Amphissa columbiana Dall, 1916"
Amphissa versicolor,"Dall, 1871","Amphissa versicolor Dall, 1871"
Astyris,"H. Adams & A. Adams, 1853","Astyris H. Adams & A. Adams, 1853"
Lirabuccinum dirum,"(Reeve, 1846)","Lirabuccinum dirum (Reeve, 1846)"
Ceratostoma foliatum,"(Gmelin, 1791)","Ceratostoma foliatum (Gmelin, 1791)"
Ceratostoma nuttalli,"(Conrad, 1837)","Ceratostoma nuttalli (Conrad, 1837)"
Nucella,"Röding, 1798","Nucella Röding, 1798"
Nucella canaliculata,"(Duclos, 1832)","Nucella canaliculata (Duclos, 1832)"
Nucella emarginata,"(Deshayes, 1839)","Nucella emarginata (Deshayes, 1839)"
Nucella lamellosa,"(Gmelin, 1791)","Nucella lamellosa (Gmelin, 1791)"
Nucella ostrina,"(A. Gould, 1852)","Nucella ostrina (A. Gould, 1852)"
