taxon_code,taxonomic_rank,scientific_name,description,marine_code,2023_code,2022_code,2021_code,2020_code,2019_code,2018_code,2017_code,2016_code,2015_code,2014_code,2013_code
EMGR,SPECIES,Emplectonema gracile,Green ribbon worm,,EMGR,,,,,,,,,,
PAPE,SPECIES,Paranemertes peregrina,Wandering mussel worm,,PAPE,PAPE,,,,,,,,,
PLAT,PHYLUM,Platyhelminthes,Unknown flatworm,,PLAT,PLAT,PLAT,PLAT,PLAT,PLAT,FLAT,,,,
PORI,PHYLUM,Porifera,Unknown sponge,OTHSPO,PORI,PORI,PORI,PORI,PORI,,,,,,
HALC,GENUS,Haliclona,Purple Intertidal Sponge,HALICL,HALC,HALC,HALC,HALC,HALC,HALC,,,,,
HAPE,SPECIES,Haliclona permollis,Purple encrusting sponge,HALICL,HAPE,HAPE,HAPE,HAPE,HAPE,HAPE,,,,,
OPHP,SPECIES,Ophlitaspongia pennata,Velvety red sponge,OTHSPO,OPHP,OPHP,OPHP,OPHP,OPHP,OPHP,,,,,
HALI,GENUS,Halichondria,Crumb of Bread Sponge,OTHSPO,HALI,HALI,HALI,HALI,HALI,HALI,,,,,
SIPU,PHYLUM,Sipuncula,Unidentified peanut worm,,SIPU,SIPU,SIPU,SIPU,SIPU,SIPU,,,,,
DIAT,CLASS,Bacillariophyceae,Diatoms,OTHBRO,DIAT,DIAT,DIAT,DIAT,DIAT,DIAT,,,,,
BRO,CLASS,Phaeophyceae,Other brown algae,OTHBRO,BRO,,,,,,BRO,BRO,,,
DESM,GENUS,Desmarestia,Unknown acid weed,OTHBRO,DESM,DESM,DESM,DESM,DESM,DESM,DESM,,,,
LEAT,GENUS,Leathesia,Unknown Leathesia species,COLLEA,LEAT,LEAT,LEAT,LEAT,LEAT,LEAT,LEA,,,,
LEAD,SPECIES,Leathesia difformis,,COLLEA,LEAD,LEAD,LEAD,LEAD,LEAD,LEAD,,,,,
MEIN,SPECIES,Melanosiphon intestinalis,,SCYSPP,MEIN,MEIN,,,,,,,,,
ECTO,GENUS,Ectocarpus,Unknown Ectocarpus species,,ECTO,ECTO,ECTO,ECTO,ECTO,ECTO,,,,,
ANJA,SPECIES,Analipus japonicus,Sea fir,ANAJAP,ANJA,ANJA,ANJA,ANJA,ANJA,ANJA,ANJA,,,,
COLP,GENUS,Colpomenia,Unknown Colpomenia species,COLPER,COLP,COLP,COLP,COLP,COLP,COLP,COLP,,,,
COPE,SPECIES,Colpomenia peregrina,,COLPER,COPE,COPE,COPE,COPE,COPE,COPE,,,,,
SCLO,SPECIES,Scytosiphon lomentaria,Soda-straw alga,SCYSPP,SCLO,SCLO,SCLO,SCLO,SCLO,SCLO,,,,,
FUDI,SPECIES,Fucus distichus,Rockweed,FUCGAR,FUDI,FUDI,FUDI,FUDI,FUDI,FUDI,FUCU,f,,,
SICO,SPECIES,Silvetia compressa,Silvetia rockweed,SILCOM,SICO,SICO,SICO,SICO,SICO,SICO,SILV,s,,,
JUKE,ORDER,Laminariales,Unknown juvenile kelp,OTHBRO,JUKE,JUKE,JUKE,JUKE,JUKE,JUKE,,,,,
ALMA,SPECIES,Alaria marginata,Ribbon kelp,ALAMAR,ALMA,ALMA,ALMA,ALMA,ALMA,ALMA,,,,,
LAMI,GENUS,Laminaria,Laminaria,OTHBRO,LAMI,LAMI,LAMI,LAMI,LAMI,LAMI,,,,,
LASE,SPECIES,Laminaria setchellii,Split Kelp,OTHBRO,LASE,LASE,LASE,LASE,LASE,LASE,,,,,
SACC,GENUS,Saccharina,Unknown Saccharina species,OTHBRO,SACC,SACC,SACC,SACC,SACC,SACC,,,,,
SASE,SPECIES,Saccharina sessilis,Sugar kelp,HEDSES,SASE,SASE,SASE,SASE,SASE,SASE,,,,,
RALF,GENUS,Ralfsia,Unknown Ralfsia species,,RALF,RALF,RALF,RALF,RALF,RALF,RAL,,,,
GRAL,KINGDOM,Plantae,Unknown green algae,OTHGRE,GRAL,GRAL,GRAL,GRAL,GRAL,GRAL,,,,,
CLAC,CLASS,Ulvophyceae,Cladophora columbiana OR Acrosiphonia spp.,,CLAC,CLAC,CLAC,CLAC,CLAC,CLAC,CLAC,CLAD,,,
BRYP,GENUS,Bryopsis,Sea fern,OTHINV,BRYP,BRYP,BRYP,BRYP,BRYP,BRYP,,,,,
COFR,SPECIES,Codium fragile,Green sea fingers,OTHGRE,COFR,COFR,COFR,COFR,COFR,COFR,,,,,
DEMA,SPECIES,Derbesia marina,Little green balls,OTHGRE,DEMA,DEMA,DEMA,DEMA,DEMA,DEMA,,,,,
CLAD,GENUS,Cladophora,,ACRSPP,CLAD,CLAD,CLAD,CLAD,CLAD,CLAD,,,,,
ULVA,GENUS,Ulva,Unknown Ulva species,,ULVA,ULVA,ULVA,ULVA,ULVA,ULVA,ULVA,ue,,,
BULV,GENUS,Ulva,Bladed Ulva spp.,ULVENT,BULV,,,,,,,,,,
TULV,GENUS,Ulva,Tubular Ulva spp.,ULVENT,TULV,TULV,,,,,,,,,
ULLA,SPECIES,Ulva lactuca,Sea lettuce,ULVENT,ULLA,ULLA,ULLA,ULLA,ULLA,ULLA,,,,,
POLS,PHYLUM,Rhodophyta,Polysiphonious cell complex,FILRED,POLS,POLS,POLS,POLS,POLS,POLS,,,,,
RED,PHYLUM,Rhodophyta,Other red algae,OTHRED,RED,RED,RED,RED,RED,RED,RED,or,,,
FRED,PHYLUM,Rhodophyta,Filamentous red algae,FILRED,FRED,FRED,FRED,FRED,FRED,FRED,FRED,fr,,,
UNKR,PHYLUM,Rhodophyta,Other red algae,OTHRED,UNKR,UNKR,UNKR,UNKR,UNKR,UNKR,,,,,
PYWI,FAMILY,Bangiaceae,Pyropia | Wildemania spp.,PORSPP,PYWI,PYWI,PYWI,PYWI,PYWI,PYWI,PYRO,,,,
PYRO,GENUS,Pyropia,,,PYRO,PYRO,PYRO,PYRO,PYRO,PYRO,,,,,
WINO,SPECIES,Wildemania norrisii,Wildemania norrisii,OTHRED,WINO,WINO,WINO,WINO,WINO,WINO,,,,,
SMIT,SPECIES,Smithora naiadum,Seagrass laver,OTHRED,SMIT,SMIT,SMIT,SMIT,SMIT,SMIT,,,,,
AHFA,SPECIES,Ahnfeltia fastigiata,Bushy Ahnfelt’s seaweed,FILRED,AHFA,AHFA,AHFA,AHFA,AHFA,AHFA,,,,,
CALT,GENUS,Callithamnion,,CALPIK,CALT,CALT,CALT,CALT,CALT,CALT,,,,,
CAPI,SPECIES,Callithamnion pikeanum,Beauty bush alga,CALPIK,CAPI,CAPI,CAPI,CAPI,CAPI,CAPI,,,,,
PTIL,GENUS,Ptilota,Unknown Ptilota species,,PTIL,PTIL,PTIL,PTIL,PTIL,PTIL,,,,,
CERA,GENUS,Ceramium,Ceramium,,CERA,CERA,,,,,,,,,
MIBO,SPECIES,Microcladia borealis,Coarse sea lace,MICBOR,MIBO,MIBO,MIBO,MIBO,MIBO,MIBO,,,,,
NELA,SPECIES,Neorhodomela larix,Black larch alga,NEOLAR,NELA,NELA,NELA,NELA,NELA,NELA,,,,,
ODON,GENUS,Odonthalia,Unknown Odonthallia species,ODOSPP,ODON,ODON,ODON,ODON,ODON,ODON,,,,,
ODFL,SPECIES,Odonthalia floccosa,Sea brush,NEOODO,ODFL,ODFL,ODFL,ODFL,ODFL,ODFL,,,,,
POLYS,GENUS,Polysiphonia,Unknown Polysiphonia species,FILRED,POLYS,POLYS,POLYS,POLYS,POLYS,POLYS,POLY,,,,
PTER,GENUS,Pterosiphonia,Unknown Pterosiphonia species,FILRED,PTER,PTER,PTER,PTER,PTER,PTER,,,,,
SARO,SPECIES,Savoiea robusta,Black tassel,FILRED,SARO,SARO,SARO,SARO,SARO,SARO,,,,,
CCOR,ORDER,Corallinales,Unknown crustose coralline,CRUCOR,CCOR,CCOR,CCOR,CCOR,CCOR,CCOR,COR,cc,,,
ACOR,ORDER,Corallinales,Unknown articulated coralline,ARTCOR,ACOR,ACOR,ACOR,ACOR,ACOR,ACOR,ACOR,ac,,,
BOMA,SPECIES,Bossiella mayae,,ARTCOR,BOMA,BOMA,,,,,,,,,
CHTU,SPECIES,Chamberlainium tumidum,Chamberlainium tumidum,CRUCOR,CHTU,CHTU,CHTU,CHTU,CHTU,,,,,,
COVA,SPECIES,Corallina vancouveriensis,Corallina vancouveriensis,ARTCOR,COVA,,,,,,,,,,
CRWO,SPECIES,Cryptosiphonia woodii,Bleached brunette,CRYWOO,CRWO,CRWO,CRWO,CRWO,CRWO,CRWO,CRWO,cw,,,
DILS,GENUS,Dilsea,Sea belt,OTHRED,DILS,DILS,DILS,DILS,DILS,DILS,,,,,
FAMO,SPECIES,Farlowia mollis,Farlow's seaweed,FARMOL,FAMO,FAMO,,,,,,,,,
ENMU,SPECIES,Endocladia muricata,Turfweed,ENDMUR,ENMU,ENMU,ENMU,ENMU,ENMU,ENMU,ENDO,e,,,
GLFU,SPECIES,Gloiopeltis furcata,Jelly moss,GLOFUR,GLFU,GLFU,GLFU,GLFU,GLFU,GLFU,GLOI,,,,
CHEX,SPECIES,Chondracanthus exasperatus,Turkish washcloth,OTHRED,CHEX,,,,,,,,,,
MAZZ,GENUS,Mazzaella,Unknown Mazzaella species,MAZSPP,MAZZ,MAZZ,MAZZ,MAZZ,MAZZ,MAZZ,MAZZ,ms,,,
MAST,GENUS,Mastocarpus,Unknown Mastocarpus species,,MAST,MAST,MAST,MAST,MAST,MAST,MAST,ma,,,
PETR,GENUS,Mastocarpus,Unknown Mastocarpus – Petrocelis crust phase,PETROC,PETR,PETR,PETR,PETR,PETR,PETR,PET,NCC,,,
PRIO,GENUS,Prionitis,Unknown Prionitis species,PRISPP,PRIO,PRIO,PRIO,PRIO,PRIO,PRIO,,,,,
MEME,SPECIES,Melobesia mediocris,Seagrass crust,CRUCOR,MEME,MEME,MEME,MEME,MEME,MEME,MELO,,,,
HILD,GENUS,Hildenbrandia,Unknown Hildenbrandia species,HILSPP,HILD,HILD,HILD,HILD,HILD,HILD,HIL,NCC,,,
NEHE,SPECIES,Nemalion elminthoides,,NEMHEL,NEHE,NEHE,,,,,,,,,
NEEL,SPECIES,Nemalion elminthoides,Nemalion elminthoides,,,,,,,,,,,,
HAGL,SPECIES,Halosaccion glandiforme,Dead man’s fingers,HALGLA,HAGL,HAGL,HAGL,HAGL,HAGL,HAGL,HALO,ha,,,
PLOC,GENUS,Plocamium,Unknown Plocamium species,OTHRED,PLOC,PLOC,PLOC,PLOC,PLOC,PLOC,,,,,
PLVI,SPECIES,Plocamium violaceum,,FILRED,PLVI,,,,,,,,,,
PHYL,GENUS,Phyllospadix,Unknown surfgrass,PHYSPP,PHYL,PHYL,PHYL,PHYL,PHYL,PHYL,NCC,n,,,
PHSC,SPECIES,Phyllospadix scouleri,Scouler’s surfgrass,PHYSPP,PHSC,PHSC,PHSC,PHSC,PHSC,PHSC,,,,,
PHTO,SPECIES,Phyllospadix torreyi,Torrey’s surfgrass,PHYSPP,PHTO,PHTO,PHTO,PHTO,PHTO,PHTO,PHYL,,,,
